seed,policy,forecast_samples,oracle_loss_mean,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,rollout_path,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
125,secondary_validation_selected_static,4096,0.91276225760239,0.43587227082127045,1189,6.482223832082751,303,0.31539969246088345,1169,2.411165265121635,3,reports/aggregate/pdppo_secondary_forecaster_24seed_20260718/seed125/rollout_secondary_validation_selected_static.npz,0.8717881584002816,0.976381639146332,0.3875163672399572,0.7452287215955237
125,feasible_static_projected,4096,0.9517743435559819,0.3291281401435209,1189,6.273108071377495,303,0.7355315371903735,1169,2.4459225829037963,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed125_h075forecastctrl_20260718cleanpilot/rollout_feasible_static_projected.npz,0.6582892153997233,0.9448836849723047,0.903712071050244,0.8356283238074239
125,round_robin,4096,0.9988697031669396,0.5101209612004213,1189,5.76791568094095,303,0.6406982511378438,1169,2.306244964426405,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed125_h075forecastctrl_20260718cleanpilot/rollout_round_robin.npz,1.0202929690580231,0.8687893403405487,0.7871949932504243,0.8920924342163321
125,random,4096,1.0113191815197136,0.5115703469684015,1189,5.649296936692435,303,0.6534342599494433,1169,2.2714338478700933,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed125_h075forecastctrl_20260718cleanpilot/rollout_random.npz,1.0231918856307574,0.8509224528428313,0.8028431120843359,0.8923191501859749
125,aoi,4096,1.0045165738397976,0.5085048981243848,1189,5.948013064469566,303,0.6623209479843701,1169,2.372946303526107,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed125_h075forecastctrl_20260718cleanpilot/rollout_aoi.npz,1.0170606811901532,0.8959164163395792,0.8137617564153438,0.9089129513150254
126,custom_ppo,4096,1.05089218817364,0.5762897993808566,1478,3.4344369063247875,769,0.30077363957208725,900,1.4371667817592437,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed126_h075forecastctrl_20260718cleanpilot/rollout_custom_ppo.npz,0.8223673714329033,0.5144830861397951,0.37531080765426533,0.5707204217423213
126,full_open_unconstrained,4096,1.1350254166959355,0.6450958123139052,1478,3.6083344039889087,769,0.31646826989442983,900,1.5232994953990813,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed126_h075forecastctrl_20260718cleanpilot/rollout_full_open_unconstrained.npz,0.9205537701082244,0.5405331559796176,0.39489485228827576,0.6186605927920392
126,secondary_validation_selected_static,4096,1.6323498500205749,0.4330755505244983,1478,6.859549892400045,769,0.2948578013203317,900,2.529161081414958,3,reports/aggregate/pdppo_secondary_forecaster_24seed_20260718/seed126/rollout_secondary_validation_selected_static.npz,0.6180001841075791,1.0275694369789456,0.3679289172885498,0.6711661794583582
126,validation_selected_static,4096,1.0987180659508176,0.4064101247604937,1478,3.5158142740906055,769,0.739930387522091,900,1.5540515954577299,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed126_h075forecastctrl_20260718cleanpilot/rollout_validation_selected_static.npz,0.5799485369723303,0.5266735209773049,0.9232985701271585,0.6766402093589313
126,aoi,4096,1.6267873979861238,0.5218367817301433,1478,6.2332390167489695,769,0.5695028997007368,900,2.4415262327266167,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed126_h075forecastctrl_20260718cleanpilot/rollout_aoi.npz,0.744662742546331,0.9337472585617277,0.7106360569105052,0.7963486860061879
126,round_robin,4096,1.605805999036097,0.5263760950941878,1478,6.16490576990401,769,0.5861582577313086,900,2.4258133742431687,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed126_h075forecastctrl_20260718cleanpilot/rollout_round_robin.npz,0.7511403571133599,0.9235108498922296,0.7314189150197402,0.8020233740084431
126,random,4096,1.6344176904925727,0.5042765226392668,1478,6.321483722044496,769,0.6073957697846802,900,2.4777186714894808,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed126_h075forecastctrl_20260718cleanpilot/rollout_random.npz,0.7196041971308828,0.9469664294343475,0.757919468102311,0.8081633648891805
126,feasible_static_projected,4096,1.6736889545080025,0.40564825270160787,1478,6.739213998219134,769,0.6748278837524059,900,2.6065633782243824,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed126_h075forecastctrl_20260718cleanpilot/rollout_feasible_static_projected.npz,0.5788613431280053,1.0095429645468643,0.8420624840629765,0.8101555972459487
127,custom_ppo,4096,0.7679062714646288,0.5794960563054096,1282,3.0358207554496106,452,0.26392963607302083,1143,1.2930821492760136,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed127_h075forecastctrl_20260718cleanpilot/rollout_custom_ppo.npz,0.6033250357943194,0.485339525983832,0.342802857536797,0.4771558064383161
127,full_open_unconstrained,4096,0.8041213016004335,0.6223641936894593,1282,3.1657076809978957,452,0.2757521702334146,1143,1.35460801497359,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed127_h075forecastctrl_20260718cleanpilot/rollout_full_open_unconstrained.npz,0.647955918507414,0.5061046712131543,0.3581584597109617,0.5040730164771766
