action_idx,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,event_rate,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,power_mean,warmup_abort_count,sensor_ids,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,prior_logit
12,0.49251313349183573,0.5376695438620003,0.445557662947561,0.509765625,0.5391016055123874,281,0.6613367270841541,251,0.4123991362424011,251,0.5376124896129809,3,1.5999999999999999,0,met_station_core|laser_disdrometer,1,0,0,0,1,0,0.9011599263185215,1.1123350671387096,1.037392279187547,1.016962424214926,0.0
15,0.49973789568078547,0.4970131053531002,0.5025712433920438,0.509765625,0.518357067425268,281,0.580823819178984,251,0.3893073582910447,251,0.49616274829843215,3,1.6400000000000003,0,surface_temp_ir|laser_disdrometer,0,0,0,1,1,0,0.8664834456274049,0.9769164110252192,0.9793047856546557,0.94090154743576,0.0
7,0.5129552668125447,0.5419546098449526,0.4828005714680886,0.509765625,0.6034428147976933,281,0.609310348610954,251,0.4057614782832533,251,0.5395048805639668,3,0.7599999999999999,0,surface_temp_ir,0,0,0,1,0,0,1.008712415173906,1.0248293188232873,1.0206952143453445,1.0180789827808459,0.0
20,0.5181679528371509,0.54086483228062,0.4945668152485236,0.509765625,0.5967443699408256,281,0.5724840798819683,251,0.4466872178166511,251,0.5386385558798149,3,1.58,0,surface_temp_ir|fc4_flux,0,0,0,1,0,1,0.997515323546018,0.9628893895534708,1.1236441356229887,1.0280162829074924,0.0
9,0.5416036189805405,0.6103336757588965,0.4701353129281466,0.509765625,0.695328911799553,281,0.5997365663251079,251,0.5257767559997589,251,0.6069474113748066,3,1.4399999999999997,0,radiometer_basic|surface_temp_ir,0,1,0,1,0,0,1.1623088199280551,1.008726699196141,1.3225943008033516,1.1645432733091825,-0.0
21,0.5879330310999649,0.5799657045215331,0.5962177810480553,0.509765625,0.5208968096462433,281,0.5666643737024994,251,0.6593959574917873,251,0.5823190469468433,3,1.6999999999999995,0,laser_disdrometer|fc4_flux,0,0,0,0,1,1,0.8707288678063034,0.9531009368655207,1.6587141318050334,1.1608479788256192,-0.0
11,0.6073687421109449,0.6178759213437066,0.5964429501597467,0.509765625,0.568385234241808,281,0.5992728649560674,251,0.6918848863992083,251,0.6198476618656946,3,0.8800000000000002,0,laser_disdrometer,0,0,0,0,1,0,0.9501103142200044,1.0079467768474486,1.7404402098825131,1.2328324336499887,-0.0
16,0.6263744679648274,0.6704238959579785,0.5805700826811125,0.509765625,0.6506378705815489,281,0.5898233824279678,251,0.7731752984552269,251,0.6712121838215812,3,0.8200000000000002,0,fc4_flux,0,0,0,0,0,1,1.0876034675430692,0.9920532231525514,1.9449266853083982,1.3415277920013395,-0.0
18,0.6337873911640296,0.7001462867090985,0.5647847149199541,0.509765625,0.6925314853093802,281,0.5747800117351144,251,0.8340374987082653,251,0.70044966525092,3,1.5,0,radiometer_basic|fc4_flux,0,1,0,0,0,1,1.157632653832483,0.9667510312972692,2.0980258823924505,1.4074698558407341,-0.0
0,0.6400023504975252,0.7018797318445159,0.5756597348339213,0.509765625,0.6735031803095468,281,0.6223420827274778,251,0.8131855522018979,251,0.7030102717463075,3,0.0,0,,0,0,0,0,0,0,1.125825020992439,1.0467480392720199,2.0455726970903783,1.4060485857849458,-0.0
13,0.6536054322350537,0.6878313576257853,0.6180159241594325,0.509765625,0.6327506640521657,281,0.5883714289244902,251,0.8489553297302163,251,0.6900258075689574,3,1.5600000000000003,0,radiometer_basic|laser_disdrometer,0,1,0,0,1,0,1.0577032900009478,0.9896111104864458,2.1355517677893108,1.3942887227589014,-0.0
2,0.671095767718119,0.7472660502521167,0.591890812573205,0.509765625,0.7850278650950707,281,0.6173285554604702,251,0.8349283658769501,251,0.745761595477497,3,0.6799999999999998,0,radiometer_basic,0,1,0,0,0,0,1.3122492046646388,1.0383155389121252,2.1002668636199964,1.4836105357322535,-0.0
