action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__surface_temp_ir,duty__ultrasonic_anemometer_hd,duty__shielded_thermo_hygro,duty__snow_particle_counter,duty__laser_disdrometer,duty__fc4_flux
24,met_station_core|ultrasonic_anemometer_hd|shielded_thermo_hygro,3,False,False,False,False,0.3171893386170268,0.32068408747263094,0.30752738589859185,inf,inf,inf,0,0,0,1.5199999999999998,2.0300000000000002,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,met_station_core|ultrasonic_anemometer_hd,2,False,False,False,False,0.31726897390035447,0.3205435589708863,0.3082157092935899,inf,inf,inf,0,0,0,1.0,1.33,0.0,0.0,0,0,0,2,6,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,met_station_core|shielded_thermo_hygro,2,False,False,False,False,0.3190900140471058,0.32216091792871976,0.31059986802146716,inf,inf,inf,0,0,0,0.9399999999999996,1.25,0.0,0.0,0,0,0,2,6,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,met_station_core|fc4_flux,2,False,True,False,False,0.31982705199334305,0.3238340055847422,0.3087490038288867,inf,inf,inf,0,0,0,1.28,1.75,0.0,0.0,0,0,0,2,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,met_station_core,1,False,False,False,False,0.3212432869768236,0.32481261725200616,0.3113751385689658,inf,inf,inf,0,0,0,0.42,0.55,0.0,0.0,0,0,0,1,7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,radiometer_basic|shielded_thermo_hygro|snow_particle_counter,3,False,False,True,True,0.33267999061354203,0.3317804065077229,0.33516707608257146,inf,inf,inf,0,0,0,1.5599999999999998,2.1,0.0,0.0,0,0,0,3,5,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
35,met_station_core|ultrasonic_anemometer_hd|snow_particle_counter,3,False,False,True,False,0.3353490240187966,0.33892690610299087,0.32545723237425966,inf,inf,inf,0,0,0,1.68,2.25,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28,met_station_core|snow_particle_counter,2,False,False,True,False,0.33723431637190515,0.3403351481885035,0.32866142840836854,inf,inf,inf,0,0,0,1.0999999999999999,1.4700000000000002,0.0,0.0,0,0,0,2,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,met_station_core|shielded_thermo_hygro|snow_particle_counter,3,False,False,True,False,0.33791525838751113,0.3413318063608034,0.328469508108409,inf,inf,inf,0,0,0,1.6200000000000008,2.17,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
51,radiometer_basic|shielded_thermo_hygro|laser_disdrometer,3,True,False,False,True,0.33919401779712643,0.34067603985362865,0.335096662699738,inf,inf,inf,0,0,0,1.6999999999999995,2.33,0.0,0.0,0,0,0,3,5,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
43,met_station_core|laser_disdrometer,2,True,False,False,False,0.34361574015929364,0.34867515284171763,0.32962795215494495,inf,inf,inf,0,0,0,1.2399999999999998,1.7,0.0,0.0,0,0,0,2,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,surface_temp_ir|shielded_thermo_hygro,2,False,False,False,False,0.34364137920056237,0.3389307140927524,0.35666498273391933,inf,inf,inf,0,0,0,0.9000000000000002,1.2,0.0,0.0,0,0,0,2,6,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
58,met_station_core|surface_temp_ir|fc4_flux,3,False,True,False,False,0.34958289600763237,0.3565022091856821,0.3304530301624361,inf,inf,inf,0,0,0,1.66,2.25,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13,met_station_core|surface_temp_ir|ultrasonic_anemometer_hd,3,False,False,False,False,0.3520187087051454,0.3598595809468881,0.3303410030956216,inf,inf,inf,0,0,0,1.3799999999999994,1.83,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,met_station_core|surface_temp_ir|shielded_thermo_hygro,3,False,False,False,False,0.3531009140788228,0.3606081694126763,0.33234556109699254,inf,inf,inf,0,0,0,1.32,1.75,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,met_station_core|surface_temp_ir,2,False,False,False,False,0.3532300344304531,0.3606082727102206,0.3328313756569782,inf,inf,inf,0,0,0,0.8000000000000002,1.05,0.0,0.0,0,0,0,2,6,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,radiometer_basic|shielded_thermo_hygro,2,False,False,False,True,0.3539761981664924,0.3635217305867279,0.32758560853407664,inf,inf,inf,0,0,0,0.8800000000000003,1.18,0.0,0.0,0,0,0,2,6,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32,met_station_core|surface_temp_ir|snow_particle_counter,3,False,False,True,False,0.3546280811642646,0.36200447114025974,0.33423453240710144,inf,inf,inf,0,0,0,1.4800000000000002,1.9700000000000002,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
41,surface_temp_ir|shielded_thermo_hygro|snow_particle_counter,3,False,False,True,False,0.3582579544163309,0.355418550484675,0.3661080711685559,inf,inf,inf,0,0,0,1.5799999999999996,2.12,0.0,0.0,0,0,0,3,5,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6,radiometer_basic|surface_temp_ir,2,False,False,False,True,0.3604110735177528,0.363709673959207,0.35129141347373233,inf,inf,inf,0,0,0,0.7400000000000001,0.98,0.0,0.0,0,0,0,2,6,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
59,radiometer_basic|surface_temp_ir|fc4_flux,3,False,True,False,True,0.36055718940042425,0.3638573740708067,0.3514331494293669,inf,inf,inf,0,0,0,1.6000000000000003,2.1799999999999997,0.0,0.0,0,0,0,3,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
33,radiometer_basic|surface_temp_ir|snow_particle_counter,3,False,False,True,True,0.36178461826057173,0.36083103373567477,0.36442099900587516,inf,inf,inf,0,0,0,1.4200000000000004,1.9,0.0,0.0,0,0,0,3,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
61,shielded_thermo_hygro|fc4_flux,2,False,True,False,False,0.36278632703761104,0.36108026560395956,0.3675030851188828,inf,inf,inf,0,0,0,1.3799999999999994,1.9,0.0,0.0,0,0,0,2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
48,radiometer_basic|surface_temp_ir|laser_disdrometer,3,True,False,False,True,0.3642186489450978,0.36523499496360406,0.36140875112922755,inf,inf,inf,0,0,0,1.5599999999999998,2.13,0.0,0.0,0,0,0,3,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
15,shielded_thermo_hygro,1,False,False,False,False,0.3672513023484498,0.36619234929217936,0.37017899609225635,inf,inf,inf,0,0,0,0.5199999999999998,0.7,0.0,0.0,0,0,0,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,met_station_core|surface_temp_ir|laser_disdrometer,3,True,False,False,False,0.3678397766780108,0.37787882553690927,0.34008475924458575,inf,inf,inf,0,0,0,1.62,2.2,0.0,0.0,0,0,0,3,5,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,ultrasonic_anemometer_hd|shielded_thermo_hygro,2,False,False,False,False,0.3682855905062752,0.3710081508541678,0.36075851189739566,inf,inf,inf,0,0,0,1.0999999999999999,1.48,0.0,0.0,0,0,0,2,6,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
