action_idx,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,event_rate,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,power_mean,warmup_abort_count,sensor_ids,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,prior_logit
10,0.3175293217015375,0.5562063690634246,0.16826145398632558,0.384765625,0.9197165051116309,218,0.3518552778007315,278,0.32004209235310555,95,0.5305379584218227,3,1.08,0,radiometer_basic|surface_temp_ir,0,1,0,1,0,0,0.9712346995684502,0.7607119198763387,1.1900155985611909,0.9739874060019934,0.0
16,0.32428955909441964,0.611568310822781,0.14462633975953967,0.384765625,0.8365248665213585,218,0.5522489456607284,278,0.2689394094834202,95,0.5525710738885024,3,1.2200000000000002,0,met_station_core|laser_disdrometer,1,0,0,0,1,0,0.8833830565200053,1.1939634906973766,1.0,1.025782182405794,-0.0
20,0.32511091303361656,0.6155213971075472,0.14348911823182509,0.384765625,0.8389869429376147,218,0.5575930898566898,278,0.2722432963157955,95,0.5562744430366999,3,1.7399999999999995,0,met_station_core|shielded_thermo_hygro|laser_disdrometer,1,0,1,0,1,0,0.885983046881347,1.2055175427406377,1.0122848742723183,1.0345951546314345,-0.0
5,0.3298340840168142,0.643208140850874,0.1338509437110689,0.384765625,1.0334520082271428,218,0.47428838281537133,278,0.24201371607027555,95,0.5832513690375966,3,1.0399999999999998,0,met_station_core|shielded_thermo_hygro,1,0,1,0,0,0,1.0913411308271272,1.0254125745155298,0.8998819345038958,1.0055452132821843,-0.0
1,0.33079782906618976,0.645652992307333,0.1338884095153796,0.384765625,1.0346024651251255,218,0.4763806396358305,278,0.24846066565890063,95,0.5864812568066189,3,0.5199999999999999,0,met_station_core,1,0,0,0,0,0,1.0925560309115212,1.0299360385735772,0.9238536893352476,1.0154485862734486,-0.0
0,0.3308899471303448,0.6409821725764049,0.13695925375614218,0.384765625,0.9469559783235603,218,0.37419031547020665,278,0.7195700317621231,95,0.6802387751852966,3,0.0,0,,0,0,0,0,0,0,1.0,0.8090003226885857,2.6755841888114347,1.4948615038333404,-0.0
18,0.33103193305578316,0.6194000633814815,0.1506874198044734,0.384765625,0.8265887867966923,218,0.5679078182245759,278,0.29463903652994256,95,0.5630452138504036,3,1.72,0,met_station_core|radiometer_basic|laser_disdrometer,1,1,0,0,1,0,0.8728904043248563,1.2278180091960007,1.095559171100607,1.0654225282071546,-0.0
30,0.33427322531012277,0.61436957906295,0.15910185486787842,0.384765625,0.9235236454037351,218,0.46174832181536035,278,0.3515603480370421,95,0.5789441050853792,3,1.1999999999999997,0,surface_temp_ir|fc4_flux,0,0,0,1,0,1,0.9752550979599828,0.9983009337912225,1.3072102326405806,1.0935887547972618,-0.0
28,0.33456037242770736,0.6565326198733801,0.13319995100930254,0.384765625,1.0246553258338105,218,0.49286366455096137,278,0.29073493229715447,95,0.6027513075606421,3,1.6600000000000001,0,met_station_core|shielded_thermo_hygro|fc4_flux,1,0,1,0,0,1,1.0820516996447975,1.0655723763512355,1.0810425026796897,1.0762221928919076,-0.0
23,0.3354105064790929,0.6626162720866211,0.13077705941660694,0.384765625,0.9964127128414058,218,0.42063414409971067,278,0.6047574036215481,95,0.673934753520888,3,0.62,0,fc4_flux,0,0,0,0,0,1,1.0522270682586545,0.9094119870069096,2.2486752863151156,1.4034381138602265,-0.0
