seed,training_source,model,feature_set,train_rows,test_rows,train_action_coverage,test_action_coverage,top1_action_accuracy,top3_action_accuracy,mean_action_cost_regret,mean_gain_vs_validation_static_action,receding_gain_vs_validation_static_action,fraction_of_receding_gain_recovered,validation_static_action_idx
1302,rl_train_only,multinomial_logistic,alert_context,2048,2304,22,22,0.11328125,0.3615451388888889,0.04193176355005966,0.005857604584889488,0.04778936813494915,0.1225712917640718,15
1303,rl_train_only,multinomial_logistic,alert_context,2048,2304,22,22,0.2595486111111111,0.4539930555555556,0.04249784568027179,0.007036302649390159,0.04953414832966195,0.14204953323436253,14
1304,rl_train_only,multinomial_logistic,alert_context,2048,2304,22,22,0.24609375,0.3962673611111111,0.03177440936431392,0.011459312631308827,0.04323372199562275,0.2650549640965226,17
1305,rl_train_only,multinomial_logistic,alert_context,2048,2304,22,22,0.2934027777777778,0.4982638888888889,0.028328514085539307,0.016365264697621267,0.044693778783160575,0.3661642658818382,14
1301,rl_train_only,ridge_cost_regression,alert_context,2048,2304,22,22,0.0642361111111111,,0.05805429660378852,0.005722561508365393,0.0637768581121539,0.0897278680348609,12
1302,rl_train_only,ridge_cost_regression,alert_context,2048,2304,22,22,0.09027777777777778,,0.04326688851708443,0.004522479617864724,0.04778936813494915,0.09463359308484685,15
1303,rl_train_only,ridge_cost_regression,alert_context,2048,2304,22,22,0.2443576388888889,,0.03664194294510202,0.012892205384559931,0.04953414832966195,0.2602690430601356,14
1304,rl_train_only,ridge_cost_regression,alert_context,2048,2304,22,22,0.21484375,,0.03200583188704008,0.011227890108582668,0.04323372199562275,0.2597021396797493,17
1305,rl_train_only,ridge_cost_regression,alert_context,2048,2304,22,22,0.1540798611111111,,0.031952319408042565,0.01274145937511801,0.044693778783160575,0.2850835109945694,14
1301,rl_train_only,extra_trees_cost_regression,complete_online_state,2048,2304,22,22,0.12413194444444445,,0.047800515406480476,0.015976342705673437,0.0637768581121539,0.25050375917826595,12
1302,rl_train_only,extra_trees_cost_regression,complete_online_state,2048,2304,22,22,0.1111111111111111,,0.03584620297381965,0.011943165161129504,0.04778936813494915,0.24991259828763612,15
1303,rl_train_only,extra_trees_cost_regression,complete_online_state,2048,2304,22,22,0.2326388888888889,,0.03656920708858201,0.012964941241079941,0.04953414832966195,0.2617374413060474,14
1304,rl_train_only,extra_trees_cost_regression,complete_online_state,2048,2304,22,22,0.2348090277777778,,0.030425702483626083,0.012808019511996664,0.04323372199562275,0.29625067934917626,17
1305,rl_train_only,extra_trees_cost_regression,complete_online_state,2048,2304,22,22,0.1150173611111111,,0.03496540489140898,0.009728373891751595,0.044693778783160575,0.21766729412051833,14
1301,rl_train_only,hist_gradient_boosting,complete_online_state,2048,2304,22,22,0.0959201388888889,0.2443576388888889,0.06031503667408186,0.0034618214380720456,0.0637768581121539,0.05428021292589089,12
1302,rl_train_only,hist_gradient_boosting,complete_online_state,2048,2304,22,22,0.09114583333333333,0.2443576388888889,0.04776190730626695,2.7460828682201162e-05,0.04778936813494915,0.0005746221336230351,15
1303,rl_train_only,hist_gradient_boosting,complete_online_state,2048,2304,22,22,0.15321180555555555,0.3237847222222222,0.04906208361110961,0.00047206471855234806,0.04953414832966195,0.009530086505386974,14
1304,rl_train_only,hist_gradient_boosting,complete_online_state,2048,2304,22,22,0.1540798611111111,0.3311631944444444,0.04687086876947433,-0.003637146773851578,0.04323372199562275,-0.08412754225092685,17
1305,rl_train_only,hist_gradient_boosting,complete_online_state,2048,2304,22,22,0.24305555555555555,0.4270833333333333,0.03154890578136676,0.013144873001793816,0.044693778783160575,0.29410968057922315,14
1301,rl_train_only,multinomial_logistic,complete_online_state,2048,2304,22,22,0.10460069444444445,0.2573784722222222,0.05948563679703511,0.004291221315118796,0.0637768581121539,0.06728492814074548,12
1302,rl_train_only,multinomial_logistic,complete_online_state,2048,2304,22,22,0.07725694444444445,0.22352430555555555,0.04865338922374778,-0.0008640210887986319,0.04778936813494915,-0.018079776371153967,15
1303,rl_train_only,multinomial_logistic,complete_online_state,2048,2304,22,22,0.1189236111111111,0.2912326388888889,0.05311927728730047,-0.0035851289576385188,0.04953414832966195,-0.07237691730921875,14
1304,rl_train_only,multinomial_logistic,complete_online_state,2048,2304,22,22,0.12456597222222222,0.3098958333333333,0.04354900815976887,-0.0003152861641461225,0.04323372199562275,-0.007292598221777992,17
1305,rl_train_only,multinomial_logistic,complete_online_state,2048,2304,22,22,0.17317708333333334,0.3671875,0.03584098251627034,0.008852796266890235,0.044693778783160575,0.19807670123041224,14
1301,rl_train_only,ridge_cost_regression,complete_online_state,2048,2304,22,22,0.109375,,0.054211644303803846,0.009565213808350062,0.0637768581121539,0.14997938267089433,12
1302,rl_train_only,ridge_cost_regression,complete_online_state,2048,2304,22,22,0.07725694444444445,,0.04425690042424119,0.003532467710707959,0.04778936813494915,0.07391743914112578,15
1303,rl_train_only,ridge_cost_regression,complete_online_state,2048,2304,22,22,0.08072916666666667,,0.05068078284320007,-0.0011466345135381251,0.04953414832966195,-0.023148364354767748,14
1304,rl_train_only,ridge_cost_regression,complete_online_state,2048,2304,22,22,0.1254340277777778,,0.0370819611804715,0.006151760815151244,0.04323372199562275,0.14229079827487642,17
1305,rl_train_only,ridge_cost_regression,complete_online_state,2048,2304,22,22,0.08550347222222222,,0.04143023725676661,0.0032635415263939658,0.044693778783160575,0.07302004026617641,14
1301,rl_train_plus_validation,extra_trees_cost_regression,alert_context,3584,2304,22,22,0.11284722222222222,,0.05131114427543556,0.015234843494706891,0.06654598777014245,0.2289370705162542,14
1302,rl_train_plus_validation,extra_trees_cost_regression,alert_context,3584,2304,22,22,0.10546875,,0.037445724776868396,0.010343643358080752,0.04778936813494915,0.21644235447667023,15
1303,rl_train_plus_validation,extra_trees_cost_regression,alert_context,3584,2304,22,22,0.2730034722222222,,0.03620986301555402,0.013324285314107934,0.04953414832966195,0.2689919129209921,14
1304,rl_train_plus_validation,extra_trees_cost_regression,alert_context,3584,2304,22,22,0.2556423611111111,,0.030344146556065727,0.015363080223323777,0.04570722677938951,0.33611928147544845,8
1305,rl_train_plus_validation,extra_trees_cost_regression,alert_context,3584,2304,22,22,0.1449652777777778,,0.03065068489134622,0.014043093891814351,0.044693778783160575,0.31420690472261914,14
1301,rl_train_plus_validation,hist_gradient_boosting,alert_context,3584,2304,22,22,0.12022569444444445,0.2942708333333333,0.0578742373327259,0.008671750437416552,0.06654598777014245,0.13031214544999742,14
1302,rl_train_plus_validation,hist_gradient_boosting,alert_context,3584,2304,22,22,0.18098958333333334,0.3654513888888889,0.04128267081169826,0.006506697323250898,0.04778936813494915,0.1361536587986909,15
1303,rl_train_plus_validation,hist_gradient_boosting,alert_context,3584,2304,22,22,0.2222222222222222,0.44921875,0.04335752626906873,0.006176622060593217,0.04953414832966195,0.12469422143863818,14
1304,rl_train_plus_validation,hist_gradient_boosting,alert_context,3584,2304,22,22,0.2261284722222222,0.4244791666666667,0.043528702148857214,0.0021785246305322872,0.04570722677938951,0.04766258607303291,8
1305,rl_train_plus_validation,hist_gradient_boosting,alert_context,3584,2304,22,22,0.3029513888888889,0.5243055555555556,0.025638801883259375,0.019054976899901196,0.044693778783160575,0.42634517417624584,14
1301,rl_train_plus_validation,multinomial_logistic,alert_context,3584,2304,22,22,0.14583333333333334,0.2894965277777778,0.059590814880923264,0.0069551728892191834,0.06654598777014245,0.10451678789776411,14
1302,rl_train_plus_validation,multinomial_logistic,alert_context,3584,2304,22,22,0.17491319444444445,0.3728298611111111,0.04027131690074586,0.007518051234203289,0.04778936813494915,0.1573163975086169,15
1303,rl_train_plus_validation,multinomial_logistic,alert_context,3584,2304,22,22,0.2595486111111111,0.4509548611111111,0.04150386943042071,0.008030278899241237,0.04953414832966195,0.16211601834350223,14
1304,rl_train_plus_validation,multinomial_logistic,alert_context,3584,2304,22,22,0.2300347222222222,0.4379340277777778,0.044147858431743875,0.0015593683476456306,0.04570722677938951,0.034116450669214246,8
1305,rl_train_plus_validation,multinomial_logistic,alert_context,3584,2304,22,22,0.2951388888888889,0.5277777777777778,0.02800423547806632,0.01668954330509425,0.044693778783160575,0.3734198306674043,14
1301,rl_train_plus_validation,ridge_cost_regression,alert_context,3584,2304,22,22,0.1267361111111111,,0.05401076766429469,0.012535220105847757,0.06654598777014245,0.18836928454869226,14
1302,rl_train_plus_validation,ridge_cost_regression,alert_context,3584,2304,22,22,0.09722222222222222,,0.041212215919383906,0.006577152215565247,0.04778936813494915,0.13762793843585616,15
