seed,candidate,selected_sensor_ids,steady_cost,condition,operating_condition,event_subtype_id,oracle_loss
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,0.7692168951034546
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.781395673751831
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7971624732017517
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8151437640190125
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8327587246894836
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8488662242889404
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8618276715278625
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8709909319877625
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8688966035842896
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8564942479133606
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8365757465362549
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8131330609321594
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7893753051757812
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7668590545654297
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7496541738510132
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7383808493614197
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7361945509910583
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7413389086723328
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7493894696235657
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7604246735572815
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7718338966369629
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.7836312055587769
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.794632077217102
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8081625699996948
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8270793557167053
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.853377640247345
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.8841137886047363
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.9180926084518433
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.9528408050537109
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,0.987515926361084
