action_idx,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,event_rate,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,power_mean,warmup_abort_count,sensor_ids,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,prior_logit
28,0.5217935475957347,0.7284941597123428,0.28936256882560696,0.529296875,1.1257904455929562,138,0.8424172046500336,436,0.29126681643051083,239,0.7531581555578336,3,1.6600000000000001,0,met_station_core|shielded_thermo_hygro|fc4_flux,1,0,1,0,0,1,1.0291252198811485,0.9418961649259765,1.0,0.9903404616023751,0.0
20,0.5236382773631097,0.7311295625761719,0.2903182014596248,0.529296875,0.8134913810569308,138,0.9314493054712037,436,0.318136512983793,239,0.6876923998373092,3,1.7399999999999995,0,met_station_core|shielded_thermo_hygro|laser_disdrometer,1,0,1,0,1,0,0.7436415006708341,1.0414418459209422,1.092251142380624,0.9591114963241335,0.0
24,0.5243251468491508,0.7329729226902402,0.2897046188286726,0.529296875,1.1394707312186558,138,0.8426438991082917,436,0.29818947794048356,239,0.7601013694224771,3,1.1400000000000003,0,met_station_core|fc4_flux,1,0,0,0,0,1,1.0416308571493433,0.9421496291710854,1.0237674225811586,1.0025159696338626,0.0
27,0.5336251912134079,0.6857910827993613,0.36251748739683776,0.529296875,1.0318692253119703,138,0.8092929731473464,436,0.26066301644596596,239,0.7006084049684276,3,1.1400000000000003,0,shielded_thermo_hygro|fc4_flux,0,0,1,0,0,1,0.9432684808658639,0.9048603750034967,0.8949286418563023,0.9143524992418876,0.0
29,0.5377233691324363,0.681067156217085,0.3765359570994911,0.529296875,1.027093044657638,138,0.7993726607993108,436,0.26544886080852115,239,0.6973048554218234,3,1.6400000000000003,0,radiometer_basic|shielded_thermo_hygro|fc4_flux,0,1,1,0,0,1,0.9389024036928666,0.8937685975517716,0.911359776790264,0.9146769260116341,0.0
12,0.5378801758876458,0.7072583730865228,0.3474175558009418,0.529296875,1.0577073769940846,138,0.8827421890930571,436,0.18477759351291417,239,0.7084090532000187,3,1.0999999999999999,0,shielded_thermo_hygro|surface_temp_ir,0,0,1,1,0,0,0.9668880573467896,0.986983026860809,0.6343928765294058,0.8627546535790014,0.0
14,0.5421746022232886,0.7007986047885955,0.36380487319757004,0.529296875,1.06554430215687,138,0.87234648617856,436,0.17724302937919625,239,0.7050446059048755,3,1.5999999999999999,0,radiometer_basic|shielded_thermo_hygro|surface_temp_ir,0,1,1,1,0,0,0.9740520702969045,0.9753597211485967,0.6085246220332213,0.8526454711595742,0.0
7,0.5432418206958877,0.7712909058377898,0.28680488263175696,0.529296875,1.125049181174541,138,0.9222237833630328,436,0.2916868196558753,239,0.7796532613978163,3,1.5399999999999998,0,met_station_core|radiometer_basic|shielded_thermo_hygro,1,1,1,0,0,0,1.0284476036244303,1.0311269047668903,1.0014419879013738,1.0203388320975648,0.0
3,0.5437458640323408,0.7712882244902197,0.28787872841373024,0.529296875,1.12300615719911,138,0.9217755814006022,436,0.29367499299752664,239,0.7794855771990795,3,1.0199999999999998,0,met_station_core|radiometer_basic,1,1,0,0,0,0,1.0265800025036635,1.0306257757453137,1.0082679400164019,1.0218245727551263,0.0
22,0.544060202431865,0.692006939543276,0.37769685904102535,0.529296875,0.7761988729454469,138,0.9048542156131989,436,0.2551035957106985,239,0.6453855614231148,3,1.2799999999999996,0,surface_temp_ir|laser_disdrometer,0,0,0,1,1,0,0.7095510882318333,1.0117062078014396,0.8758416040557095,0.8656996333629943,0.0
1,0.5487772358125463,0.7810090857513277,0.2876368568357425,0.529296875,1.1586520566024643,138,0.9316830624646824,436,0.2880861408790285,239,0.792807086648725,3,0.5199999999999999,0,met_station_core,1,0,0,0,0,0,1.0591651911637225,1.0417032066985557,0.9890798560905026,1.0299827513175936,0.0
5,0.5492977597653711,0.7825820474240466,0.28697393422387285,0.529296875,1.1639034270808317,138,0.9322678238290165,436,0.289337909745372,239,0.7951697202184068,3,1.0399999999999998,0,met_station_core|shielded_thermo_hygro,1,0,1,0,0,0,1.0639656563119064,1.0423570210834268,0.9933775268024773,1.0332334013992701,0.0
4,0.5652040617133025,0.7443940735354488,0.363708239290889,0.529296875,1.074241501427647,138,0.8943843663661578,436,0.28031577762200743,239,0.7496472151386041,3,0.5199999999999999,0,shielded_thermo_hygro,0,0,1,0,0,0,0.9820024905078117,1.0,0.9624020376137972,0.9814681760405364,0.0
6,0.565645568620918,0.73470417677733,0.37554232044503566,0.529296875,1.0752289979786114,138,0.8844822645700032,436,0.26484781023598114,239,0.7415196909281986,3,1.0199999999999998,0,radiometer_basic|shielded_thermo_hygro,0,1,1,0,0,0,0.9829051963436282,0.9889285835391037,0.9092962029856476,0.9603766609561265,0.0
30,0.5743581794182925,0.7338615400214916,0.3949996286985126,0.529296875,1.1253812082003856,138,0.8303110541929619,436,0.33184604886061975,239,0.762512770417989,3,1.1999999999999997,0,surface_temp_ir|fc4_flux,0,0,0,1,0,1,1.0287511213770604,0.928360429159196,1.139319792509869,1.0321437810153753,0.0
32,0.5951937852660194,0.7496553248511616,0.42150466813915827,0.529296875,1.0804280041568521,138,0.8106424833451389,436,0.44740833385718914,239,0.7794929404530601,3,1.6999999999999995,0,radiometer_basic|surface_temp_ir|fc4_flux,0,1,0,1,0,1,0.9876577934164585,0.9063692455166024,1.5360772618734955,1.1433681002688523,-0.0
8,0.6176742556951164,0.807734922637652,0.4039545845688626,0.529296875,1.1475799460557923,138,0.8899104855271107,436,0.4615961835100062,239,0.8330288716976364,3,0.58,0,surface_temp_ir,0,0,0,1,0,0,1.0490437798073748,0.9949978096584757,1.584788096244159,1.2096098952366698,-0.0
34,0.6228205301595153,0.7324562259614101,0.4995372373698328,0.529296875,0.8071452665372171,138,0.8567974552546346,436,0.46249863779694467,239,0.7088137865295988,3,1.32,0,laser_disdrometer|fc4_flux,0,0,0,0,1,1,0.7378402909287747,0.9579745436917272,1.5878864728391935,1.0945671024865653,-0.0
10,0.6365874015852265,0.8212001943115379,0.42899376329132466,0.529296875,1.1531369708802388,138,0.8828981210127336,436,0.5169844151977215,239,0.8510065023635646,3,1.08,0,radiometer_basic|surface_temp_ir,0,1,0,1,0,0,1.0541236545005124,0.9871573723944971,1.7749513024977956,1.272077443130935,-0.0
15,0.6466341617682095,0.7909638364908147,0.48433813749507254,0.529296875,0.7844723305948402,138,0.9153217506176288,436,0.567849933789365,239,0.7558813383339448,3,0.7000000000000001,0,laser_disdrometer,0,0,0,0,1,0,0.7171141511055147,1.0234098280770925,1.9495867766482768,1.2300369186102946,-0.0
17,0.7023824263208857,0.8808109160022396,0.5017429213265001,0.529296875,0.8263383491531663,138,0.9218718409196499,436,0.8373575727435835,239,0.8618559209387998,3,1.1999999999999997,0,radiometer_basic|laser_disdrometer,0,1,0,0,1,0,0.7553853726486078,1.0307334023124448,2.8748814678082515,1.5536667475897683,-0.0
23,0.7043644577061059,0.8993228602361708,0.4851373743631698,0.529296875,1.254051669460276,138,0.8252260479734305,436,0.8296727952722726,239,0.969650170901993,3,0.62,0,fc4_flux,0,0,0,0,0,1,1.1463733815895716,0.9226749471553104,2.8484974891405535,1.6391819392951452,-0.0
25,0.75556305758073,0.9645229618707706,0.5205915469475307,0.529296875,1.260940227171649,138,0.8214781635671581,436,1.0543219135396151,239,1.0455801014261408,3,1.1200000000000003,0,radiometer_basic|fc4_flux,0,1,0,0,0,1,1.1526704580100833,0.9184844843663645,3.619780400872238,1.896978447749562,-0.0
0,0.7606179039673103,0.9740632756133214,0.5206025690458622,0.529296875,1.2009937876592511,138,0.9178099157886768,436,0.9456534606392912,239,1.0214857213624065,3,0.0,0,,0,0,0,0,0,0,1.0978712784773461,1.026191814507778,3.246691374693214,1.7902514892261128,-0.0
2,0.7839112225628924,0.993067487726059,0.5487189077943522,0.529296875,1.2211395440542179,138,0.9111691127881545,436,1.0107819132475673,239,1.0476968566966465,3,0.5,0,radiometer_basic,0,1,0,0,0,0,1.1162872332945168,1.018766815536135,3.4702954687209115,1.8684498391838542,-0.0
