action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,receding_action_coverage
30,surface_temp_ir|fc4_flux,2,False,True,False,False,0.632051443732861,0.8105138321228428,0.3650345874310573,1.2777010883603777,1.1679337945504067,0.32425225492056253,49,741,591,1.2,1.5,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
10,radiometer_basic|surface_temp_ir,2,False,False,False,True,0.6481889219204378,0.8486841536038686,0.3482063488382947,1.292468208439496,1.2368546522419783,0.32676058513460626,49,741,591,1.08,1.3199999999999998,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
8,surface_temp_ir,1,False,False,False,False,0.6497288136969372,0.8372426737776966,0.3691690728827132,1.2919966310870892,1.248594738010131,0.28459429484989035,49,741,591,0.58,0.72,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
22,surface_temp_ir|laser_disdrometer,2,True,False,False,False,0.666521288234637,0.8521795174960725,0.3887379571294991,0.8736705506334499,1.2797594386958562,0.308550788767245,49,741,591,1.2799999999999996,1.6,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
34,laser_disdrometer|fc4_flux,2,True,True,False,False,0.8123017276520841,0.983143179087342,0.5566873783215412,0.8740219984735761,1.151723627277553,0.7761094545954981,49,741,591,1.32,1.6600000000000001,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
17,radiometer_basic|laser_disdrometer,2,True,False,False,True,0.8127465265731897,1.0193407715586198,0.503638560890764,0.9085866620345991,1.1765456884174372,0.8261879221764716,49,741,591,1.2,1.48,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
15,laser_disdrometer,1,True,False,False,False,0.8352094170436936,1.0386707584584736,0.5307889268012114,0.8859960795665274,1.216314597047775,0.822236354845732,49,741,591,0.7000000000000001,0.88,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
23,fc4_flux,1,False,True,False,False,0.985425508862439,1.2303467350893915,0.6189724065662077,1.364643081110351,1.1828111831938368,1.2668149618277493,49,741,591,0.62,0.78,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
25,radiometer_basic|fc4_flux,2,False,True,False,True,0.990308839691958,1.2315409942155813,0.629375356054771,1.3554412527960173,1.1715621119528485,1.2880562759696328,49,741,591,1.12,1.38,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,
2,radiometer_basic,1,False,False,False,True,0.9960241833662925,1.2477627471790722,0.6193709259172689,1.401808961313598,1.256944523910601,1.216964239144285,49,741,591,0.5,0.6,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
0,,0,False,False,False,False,1.0129504586285394,1.2778467136522207,0.6166105581001496,1.470572761126927,1.2842644488039288,1.2444585792707712,49,741,591,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
